% Title: Fare Prediction Database
% Shukrabad - 23.753523,90.379250
% Free School Street - 23.748146,90.389475
% Shyamoli - 23.771783,90.363067
% Rayerbazar - 23.743815,90.366581
% TSC - 23.731775,90.395620
% Sobhanbag - 23.755417,90.376585
% Shimanto square - 23.738880,90.371003
% Shahbagh - 23.739726,90.394261
% Mohammadpur - 23.765844,90.358361
% Katabon - 23.736769,90.387196
% Central Road - 23.741886,90.387717
% Mirpur 10 - 23.806931, 90.368709
% Sutrapur - 23.702387,90.418244
% Dhanmondi 15 - 23.74680,90.36410
% Asad Gate - 23.759082,90.365718

@relation fare

@attribute source_lat real
@attribute source_lng real
@attribute destination_lat real
@attribute destination_lng real
@attribute distance real
@attribute fare real

@data
23.748146,90.389475,23.753523,90.379250,1.5,40
23.748146,90.389475,23.753523,90.379250,1.5,50
23.748146,90.389475,23.753523,90.379250,1.5,60
23.743815,90.366581,23.771783,90.363067,3.5,50
23.743815,90.366581,23.771783,90.363067,3.5,55
23.743815,90.366581,23.771783,90.363067,3.5,60
23.731775,90.395620,23.748146,90.389475,2.6,50
23.748146,90.389475,23.755417,90.376585,2.6,50
23.748146,90.389475,23.755417,90.376585,2.6,60
23.748146,90.389475,23.755417,90.376585,2.6,70
23.748146,90.389475,23.738880,90.371003,2.3,50
23.738880,90.371003,23.748146,90.389475,2.3,60
23.748146,90.389475,23.739726,90.394261,1.7,30
23.748146,90.389475,23.739726,90.394261,1.7,50
23.743815,90.366581,23.739726,90.394261,4.5,80
23.743815,90.366581,23.739726,90.394261,4.5,100
23.739726,90.394261,23.743815,90.366581,4.5,70
23.743815,90.366581,23.731775,90.395620,4.7,80
23.743815,90.366581,23.731775,90.395620,4.7,90
23.765844,90.358361,23.743815,90.366581,2.5,30
23.748146,90.389475,23.736769,90.387196,0.7,20
23.736769,90.387196,23.753523,90.379250,0.7,30
23.743815,90.366581,23.736769,90.387196,4.2,60
23.736769,90.387196,23.743815,90.366581,4.2,70
23.741886,90.387717,23.748146,90.389475,0.8,30
23.748146,90.389475,23.741886,90.387717,0.8,40
23.748146,90.389475,23.806931,90.368709,9.7,160
23.748146,90.389475,23.702387,90.418244,5.4,120
23.743815,90.366581,23.74680,90.36410,1.7,30
23.743815,90.366581,23.74680,90.36410,1.7,40
